,name
0,Gold
1,Copper
2,Silver
3,Palladium
4,Platinum
5,Aluminum
6,Zinc
7,Lead
8,Nickel
9,Tin
10,Copper
11,Xetra-Gold
12,MCX Aluminum Mini
13,MCX Aluminum
14,MCX Copper
15,MCX Copper Mini
16,MCX Gold 1 Kg
17,MCX Gold Guinea
18,MCX Gold Mini
19,MCX Gold Petal
20,MCX Gold Petal Del
21,MCX Lead
22,MCX Lead Mini
23,MCX Nickel
24,MCX Nickel Mini
25,MCX Silver
26,MCX Silver Micro
27,MCX Silver Mini
28,MCX Zinc
29,MCX Zinc Mini
30,US Coffee C
31,US Cotton #2
32,US Sugar #11
33,Orange Juice
34,US Cocoa
35,London Coffee
36,London Cocoa
37,London Sugar
38,Lumber
39,MCX Cardamom
40,MCX Cotton
41,MCX Crude Palm Oil
42,MCX Kapas
43,MCX Mentha Oil
44,MCX Castor Seed
45,Live Cattle
46,Lean Hogs
47,Feeder Cattle
48,Brent Oil
49,Crude Oil WTI
50,London Gas Oil
51,Natural Gas
52,Heating Oil
53,Carbon Emissions
54,Gasoline RBOB
55,MCX Brent Oil
56,MCX Crude Oil WTI
57,MCX Natural Gas
58,London Wheat
59,Rough Rice
60,US Soybean Oil
61,US Soybean Meal
62,US Soybeans
63,US Wheat
64,US Corn
65,Oats
