,name
0,Bitcoin
1,Ethereum
2,Binance Coin
3,Tether
4,Cardano
5,Polkadot
6,XRP
7,Uniswap
8,Litecoin
9,Chainlink
10,THETA
11,USD Coin
12,Bitcoin Cash
13,Stellar
14,Terra
15,Wrapped Bitcoin
16,Dogecoin
17,VeChain
18,Crypto.com Coin
19,Filecoin
20,Aave
21,TRON
22,IOTA
23,Cosmos
24,Solana
25,EOS
26,Avalanche
27,Monero
28,Bitcoin SV
29,Kusama
30,FTX Token
31,Tezos
32,NEM
33,BitTorrent
34,Algorand
35,Neo
36,Chiliz
37,Dai
38,Huobi Token
39,Hedera Hashgraph
40,Elrond
41,SushiSwap
42,Synthetix
43,Dash
44,Theta Fuel
45,UNUS SED LEO
46,The Graph
47,Decred
48,Maker
49,Zilliqa
50,Compound
51,Polygon
52,NEAR Protocol
53,Enjin Coin
54,Ravencoin
55,Basic Attention Token
56,Pundi X
57,Zcash
58,PancakeSwap
59,Harmony
60,Decentraland
61,Nexo
62,UMA
63,Ethereum Classic
64,Bancor
65,SwissBorg
66,THORChain
67,yearn.finance
68,Holo
69,Reserve Rights
70,ICON
71,Celsius
72,0x
73,Waves
74,Fantom
75,Ren
76,Siacoin
77,Revain
78,Voyager Token
79,Ontology
80,DigiByte
81,Dent
82,OKB
83,IOST
84,OMG Network
85,Paxos Standard
86,Celo
87,1inch
88,Nano
89,Nano
90,Qtum
91,Loopring
92,Ocean Protocol
93,Curve DAO Token
94,Kyber Network
95,Horizen
96,MVL
97,Bitcoin Gold
98,Lisk
99,Verge
100,Fetch.ai
101,Energy Web Token
102,Quant
103,Ankr
104,Golem
105,Bitpanda Ecosystem Token
106,Electroneum
107,Celer Network
108,StormX
109,Augur
110,Mixin
111,IoTeX
112,Venus
113,FunFair
114,Status
115,WAX
116,Telcoin
117,Kin
118,COTI
119,Stacks
120,Kava.io
121,Polymath
122,Swipe
123,MaidSafeCoin
124,Civic
125,TrueUSD
126,Band Protocol
127,Ardor
128,Steem
129,Orchid
130,Aragon
131,QuarkChain
132,OriginTrail
133,Utrust
134,Serum
135,MediBloc
136,Hifi Finance
137,Storj
138,Origin Protocol
139,BitShares
140,Numeraire
141,Komodo
142,Bitcoin Diamond
143,Ampleforth
144,SingularityNET
145,Gnosis
146,Stratis
147,Ark
148,TomoChain
149,IRISnet
150,PAC Global
151,Wanchain
152,ABBC Coin
153,district0x
154,aelf
155,Syscoin
156,ZB Token
157,CyberVein
158,iExec RLC
159,Loom Network
160,Haven Protocol
161,Power Ledger
162,Unibright
163,Hellenic Coin
164,Populous
165,Bytom
166,AdEx Network
167,Divi
168,Centrality
169,Request
170,EFFORCE
171,ReddCoin
172,Aion
173,Gas
174,Elastos
175,LBRY Credits
176,Energi
177,Streamr
178,MonaCoin
179,WazirX
180,Gemini Dollar
181,Metal
182,Refereum
183,Selfkey
184,SOLVE
185,Ignis
186,Zenon
187,Nimiq
188,Waltonchain
189,NKN
190,DREP
191,Beam
192,Bytecoin
193,Bluzelle
194,Cartesi
195,Sentinel Protocol
196,Nexus
197,KuCoin Shares
198,Firo
199,ARPA Chain
200,AirSwap
201,Endor Protocol
202,NULS
203,Function X
204,WaykiChain
205,PIVX
206,RChain
207,Constellation
208,Switcheo
209,Phoenix Global
210,Dragonchain
211,pNetwork
212,Fusion
213,Groestlcoin
214,Quantstamp
215,Cindicator
216,FIO Protocol
217,Cortex
218,Ripio Credit Network
219,Cocos-BCX
220,Sport and Leisure
221,Measurable Data Token
222,Einsteinium
223,v.systems
224,Aeternity
225,GameCredits
226,Aurora
227,Zap
228,GXChain
229,VITE
230,Enzyme Finance
231,LockTrip
232,Lympo
233,STASIS EURO
234,Dock
235,Kleros
236,Nebulas
237,GoChain
238,MCO
239,Navcoin
240,Propy
241,Skycoin
242,CasinoCoin
243,Dentacoin
244,HyperCash
245,BTU Protocol
246,DMarket
247,Mithril
248,Nxt
249,Phantasma
250,LATOKEN
251,0Chain
252,Steem Dollars
253,Wirex Token
254,Flexacoin
255,Sentivate
256,All Sports
257,Neblio
258,Apollo Currency
259,Crypterium
260,Grin
261,Project Pai
262,Presearch
263,Vertcoin
264,Wabi
265,Veritaseum
266,Nucleus Vision
267,Ambrosus
268,TenX
269,Raiden Network Token
270,TokenClub
271,BnkToTheFuture
272,Bankera
273,DigixDAO
274,Dovu
275,#MetaHash
276,TE-FOOD
277,Gifto
278,PCHAIN
279,Circuits of Value
