,name
0,XAU/USD
1,AED/JPY
2,AED/PKR
3,CAD/AED
4,CHF/AED
5,DKK/AED
6,EUR/AED
7,GBP/AED
8,JPY/AED
9,AED/ARS
10,AED/AUD
11,AED/BRL
12,AED/CAD
13,AED/CHF
14,AED/CLP
15,AED/CNY
16,AED/CZK
17,AED/DKK
18,AED/EUR
19,AED/GBP
20,AED/HKD
21,AED/HUF
22,AED/ILS
23,AED/INR
24,AED/ISK
25,AED/KRW
26,AED/MAD
27,AED/MXN
28,AED/NOK
29,AED/NZD
30,AED/PHP
31,AED/PLN
32,AED/RUB
33,AED/SAR
34,AED/SEK
35,AED/SGD
36,AED/THB
37,AED/TRY
38,AED/USD
39,AED/VES
40,AED/XAF
41,AED/XCD
42,AED/ZAR
43,AED/BBD
44,AED/BHD
45,AED/JOD
46,AED/NAD
47,AED/OMR
48,AED/QAR
49,AED/JMD
50,AED/KES
51,AED/LKR
52,AED/RON
53,AED/LBP
54,AED/NPR
55,AED/PAB
56,AED/EGP
57,AED/IDR
58,AED/TWD
59,AED/MYR
60,AED/XOF
61,ARS/AED
62,AUD/AED
63,BRL/AED
64,CNY/AED
65,HKD/AED
66,ILS/AED
67,MXN/AED
68,NOK/AED
69,NZD/AED
70,PLN/AED
71,RUB/AED
72,SAR/AED
73,SEK/AED
74,SGD/AED
75,THB/AED
76,TRY/AED
77,TWD/AED
78,VES/AED
79,ZAR/AED
80,AED/KWD
81,EGP/AED
82,KWD/AED
83,JOD/AED
84,EUR/AFN
85,USD/AFN
86,AFN/USD
87,EUR/ALL
88,GBP/ALL
89,USD/ALL
90,USD/AMD
91,EUR/AMD
92,RUB/AMD
93,AMD/RUB
94,EUR/ANG
95,USD/ANG
96,USD/AOA
97,EUR/AOA
98,ARS/BRL
99,ARS/HKD
100,ARS/JPY
101,ARS/MXN
102,AUD/ARS
103,BRL/ARS
104,CAD/ARS
105,CHF/ARS
106,EUR/ARS
107,GBP/ARS
108,HKD/ARS
109,JPY/ARS
110,SGD/ARS
111,USD/ARS
112,ARS/AUD
113,ARS/CAD
114,ARS/CHF
115,ARS/CLP
116,ARS/CNY
117,ARS/CZK
118,ARS/DKK
119,ARS/EUR
120,ARS/GBP
121,ARS/HUF
122,ARS/ILS
123,ARS/INR
124,ARS/ISK
125,ARS/KRW
126,ARS/MAD
127,ARS/NOK
128,ARS/NZD
129,ARS/PHP
130,ARS/PKR
131,ARS/PLN
132,ARS/RUB
133,ARS/SAR
134,ARS/SEK
135,ARS/SGD
136,ARS/THB
