,name
0,The Hartford Midcap Fund Class C
1,Neuberger Berman Mid Cap Growth Fund Investor Class
2,Goldman Sachs Growth Opportunities Fund Institutional Class
3,Principal Variable Contracts Midcap Account Class 1
4,Janus Henderson Enterprise Fund Class A
5,Hennessy Focus Fund Institutional Class
6,Ab Discovery Growth Fund Class Z
7,Jnl/t. Rowe Price Mid-cap Growth Fund Class I
8,Vy Baron Growth Portfolio Class S
9,The Hartford Midcap Fund Class R5
10,Amg Managers Brandywine Fund Class I
11,Davenport Equity Opportunities Fund
12,Jackson Square Smid-cap Growth Fund Institutional Class
13,Amg Timessquare Mid Cap Growth Fund Class N
14,Value Line Premier Growth Fund
15,Jpmorgan Mid Cap Growth Fund Class R5
16,T. Rowe Price Mid-cap Growth Portfolio
17,Jpmorgan Mid Cap Equity Fund Class A
18,Eaton Vance Atlanta Capital Smid-cap Fund Class R
19,John Hancock Funds Ii Mid Cap Stock Fund Class 1
20,Touchstone Mid Cap Growth Fund Class Y
21,Neuberger Berman Mid Cap Growth Fund Class R6
22,Voya Midcap Opportunities Portfolio Class I
23,Janus Henderson Enterprise Fund Class S
24,Artisan Mid Cap Fund Advisor Class
25,Columbia Mid Cap Growth Fund Class A
26,Carillon Eagle Mid Cap Growth Fund Class R5
27,Janus Henderson Vit Enterprise Portfolio Service Class
28,Great-west T. Rowe Price Mid Cap Growth Fund Investor Class
29,T. Rowe Price Mid-cap Growth Fund Advisor Class
30,Invesco Oppenheimer Discovery Mid Cap Growth Fund A
31,Carillon Eagle Mid Cap Growth Fund Class A
32,Victory Munder Mid-cap Core Growth Fund Class Y
33,Janus Henderson Vit Enterprise Portfolio Institutional Class
34,Cibc Atlas Mid Cap Equity Fund Institutional Class
35,Ab Discovery Growth Fund Class A
36,Wells Fargo Enterprise Fund - Class A
37,Wells Fargo Discovery Fund - Class A
38,Pioneer Select Mid Cap Growth Fund Class Y
39,Pgim Jennison Mid-cap Growth Fund- Class R6
40,Columbia Mid Cap Growth Fund Institutional Class
41,Lvip T. Rowe Price Structured Mid-cap Growth Fund Standard Class
42,American Century Nt Heritage Fund G Class
43,Voya Midcap Opportunities Fund Class I
44,Brighthouse Funds Trust I T.rowe Price Mid Cap Growth Portfolio Class A
45,Eventide Gilead Class N
46,Morgan Stanley Institutional Fund Trust Discovery Portfolio Class A
47,Touchstone Mid Cap Growth Fund Class A
48,Madison Mid Cap Fund Class Y
49,Goldman Sachs Small/mid Cap Growth Fund Class A
50,Massmutual Select Mid Cap Growth Fund Administrative Class
51,Ivy Mid Cap Growth Fund Class Y
52,Jpmorgan Mid Cap Equity Fund Class I
53,Macquarie Smid Cap Gwth Tr (class A)
54,Lvip T. Rowe Price Structured Mid-cap Growth Fund Service Class
55,Wellington Cif Ii Mid Cap Opportunities S2
56,Mfs Variable Insurance Trust Mid Cap Growth Series Initial Class
57,Eventide Gilead Class C
58,Marsico 21st Century Fund
