,name
0,NQ US Mid Cap Value
1,NQ US Mid Cap Growth
2,NQ US Mid Cap Telecommunications Equipment
3,NQ US Mid Cap Semiconductors
4,NQ US Mid Cap Computer Hardware
5,NQ US Mid Cap Technology Hardware & Equipment
6,NQ US Mid Cap Technology
7,NQ US Mid Cap Software
8,NQ US Mid Cap Software & Computer Services
9,NQ US Mid Cap Investment Services
10,NQ US Mid Cap Asset Managers
11,NQ US Small Cap Oil & Gas
12,NQ US Mid Cap Financial Service
13,NQ US Mid Cap Financial Services Sector
14,NQ US Mid Cap Mortgage REITs
15,NQ US Small Cap Oil & Gas Producers
16,NQ US Small Cap Forestry & Paper
17,NQ US Small Cap Oil Equipment & Services
18,NQ US Small Cap General Mining
19,NQ US Small Cap Coal
20,NQ US Mid Cap Specialty REITs
21,NQ US Small Cap Mining
22,NQ US Small Cap Iron & Steel
23,NQ US Small Cap Nonferrous Metals
24,NQ US Small Cap Industrial Metals & Mining
25,NQ US Small Cap Paper
26,NQ US Small Cap Basic Resources
27,NQ US Small Cap Specialty Chemicals
28,NQ US Small Cap Commodity Chemicals
29,NQ US Small Cap Chemicals
30,NQ US Small Cap Basic Materials
31,NQ US Small Cap Renewable Energy Equipment
32,NQ US Small Cap Alternative Energy
33,NQ US Small Cap Exploration & Production
34,NQ US Mid Cap Residential REITs
35,NQ US Mid Cap Specialty Retailers
36,NQ US Mid Cap Industrial & Office REITs
37,NQ US Mid Cap Broadcasting & Entertainment
38,NQ US Mid Cap Media
39,NQ US Mid Cap Specialized Consumer Services
40,NQ US Mid Cap Apparel Retailers
41,NQ US Mid Cap General Retailers
42,NQ US Mid Cap Food Retailers & Wholesalers
43,NQ US Mid Cap Food & Drug Retailers
44,NQ US Mid Cap Retail
45,NQ US Mid Cap Consumer Services
46,NQ US Mid Cap Pharmaceuticals
47,NQ US Mid Cap Biotechnology
48,NQ US Mid Cap Pharmaceuticals & Biotechnology
49,NQ US Mid Cap Medical Supplies
50,NQ US Small Cap Gold Mining
51,NQ US Mid Cap Medical Equipment
52,NQ US Mid Cap Publishing
53,NQ US Mid Cap Retail REITs
54,NQ US Mid Cap Travel & Leisure
55,NQ US Mid Cap Restaurants & Bars
56,NQ US Mid Cap Real Estate Investment Trusts
57,NQ US Mid Cap Real Estate Investment & Services
58,NQ US Mid Cap Real Estate
59,NQ US Mid Cap Life Insurance
60,NQ US Mid Cap Reinsurance
61,NQ US Mid Cap Property & Casualty Insurance
62,NQ US Mid Cap Nonlife Insurance
63,NQ US Mid Cap Insurance
64,NQ US Mid Cap Banks
65,NQ US Mid Cap Financials
66,"NQ US Mid Cap Gas, Water & Multiutilities"
67,NQ US Mid Cap Conventional Electricity
68,NQ US Mid Cap Electricity
69,NQ US Mid Cap Utilities
70,NQ US Mid Cap Telecom
71,NQ US Mid Cap Recreational Services
72,NQ US Small Cap Industrials
73,NQ US Small Cap Pharmaceuticals
74,NQ US Small Cap Building Materials & Fixtures
75,NQ US Small Cap Food Retailers & Wholesalers
76,NQ US Small Cap Food & Drug Retailers
77,NQ US Small Cap Retail
78,NQ US Small Cap Consumer Services
79,NQ US Small Cap Biotechnology
80,NQ US Small Cap Pharmaceuticals & Biotechnology
81,NQ US Small Cap General Retailers
82,NQ US Small Cap Medical Supplies
83,NQ US Small Cap Health Care Providers
84,NQ US Small Cap Health Care Equipment & Services
85,NQ US Small Cap Health Care
86,NQ US Small Cap Tobacco
87,NQ US Small Cap Personal Products
88,NQ US Small Cap Footwear
89,NQ US Small Cap Medical Equipment
90,NQ US Small Cap Apparel Retailers
91,NQ US Small Cap Broadline Retailers
92,NQ US Small Cap Home Improvement Retailers
93,NQ US Mid Cap Health Care Providers
94,NQ US Sml Cap Telecommunicati
95,NQ US Small Cap Travel & Tourism
96,NQ US Small Cap Restaurants & Bars
97,NQ US Small Cap Recreational Services
98,NQ US Small Cap Hotels
99,NQ US Small Cap Gambling
100,NQ US Small Cap Airlines
101,NQ US Sml Cap Travel & Leisure
102,NQ US Small Cap Publishing
103,NQ US Small Cap Media Agencies
104,NQ US Small Cap Broadcasting & Entertainment
105,NQ US Small Cap Media
106,NQ US Small Cap Specialty Retailers
107,NQ US Small Cap Specialized Consumer Services
108,NQ US Small Cap Clothing & Accessories
109,NQ US Small Cap Personal Goods
110,NQ US Small Cap Toys
111,NQ US Small Cap Recreational Products
112,NQ US Small Cap Trucking
113,NQ US Small Cap Transportation Services
114,NQ US Small Cap Industrial Transportation
115,NQ US Small Cap Industrial Machinery
116,NQ US Small Cap Commercial Vehicles & Trucks
117,NQ US Small Cap Industrial Engineering
118,NQ US Small Cap Electronic Equipment
119,NQ US Small Cap Electrical Components & Equipment
120,NQ US Small Cap Electronic & Electrical Equipment
121,NQ US Small Cap Containers & Packaging
122,NQ US Small Cap General Industrials
123,NQ US Small Cap Defense
124,NQ US Small Cap Aerospace
125,NQ US Small Cap Aerospace & Defense
126,NQ US Small Cap Industrial G&S
127,NQ US Small Cap Support Services
128,NQ US Sml Cap Construct & Mtrl
129,NQ US Small Cap Business Support Services
130,NQ US Small Cap Financial Administration
131,NQ US Small Cap Consumer Electronics
132,NQ US Small Cap Leisure Goods
133,NQ US Small Cap Furnishings
134,NQ US Small Cap Nondurable Household Products
135,NQ US Small Cap Durable Household Products
136,NQ US Small Cap Personal & Household Goods
137,NQ US Small Cap Food Products
138,NQ US Small Cap Food Producers
139,NQ US Small Cap Beverages
140,NQ US Small Cap Food & Beverage
141,NQ US Small Cap Auto Parts
142,NQ US Small Cap Automobiles & Parts
143,NQ US Small Cap Consumer Goods
144,NQ US Small Cap Waste & Disposal Services
145,NQ US Small Cap Industrial Suppliers
146,NQ US Small Cap Business Training & Employment Age
147,NQ US Mid Cap Health Care Equipment & Services
148,NQ US Large Cap Industrial Machinery
149,NQ US Mid Cap Clothing and Accessories
150,NQ US Large Cap Consumer Goods
151,NQ US Large Cap Financial Administration
152,NQ US Large Cap Business Support Services
153,NQ US Large Cap Support Services
154,NQ US Large Cap Industrial Transportation
155,NQ US Small Cap Fixed Line Telecommunications
156,NQ US Large Cap Automobiles & Parts
157,NQ US Large Cap Commercial Vehicles & Trucks
158,NQ US Large Cap Electronic Equipment
159,NQ US Large Cap Electronic & Electrical Equipment
160,NQ US Large Cap Diversified Industrials
161,NQ US Large Cap General Industrials
162,NQ US Large Cap Defense
163,NQ US Large Cap Aerospace
164,NQ US Large Cap Industrial Engineering
165,NQ US Large Cap Food & Beverage
166,NQ US Large Cap Beverages
167,NQ US Large Cap Food Producers
168,NQ US Large Cap Drug Retailers
169,NQ US Large Cap Food & Drug Retailers
170,NQ US Large Cap Retail
171,NQ US Large Cap Consumer Services
172,NQ US Large Cap Pharmaceuticals
173,NQ US Large Cap Biotechnology
174,NQ US Large Cap Pharmaceuticals & Biotechnology
175,NQ US Large Cap Medical Supplies
176,NQ US Large Cap Medical Equipment
177,NQ US Large Cap Health Care Providers
178,NQ US Large Cap Health Care Equipment & Services
179,NQ US Large Cap Health Care
180,NQ US Large Cap Personal Goods
181,NQ US Large Cap Personal & Household Goods
182,NQ US Large Cap Food Products
183,NQ US Large Cap Aerospace & Defense
184,NQ US Large Cap Industrial G&S
185,NQ US Large Cap Industrials
186,NQ US Large Cap Industrial Metals & Mining
187,NQ US Benchmark Mortgage Finance
188,NQ US Benchmark Investment Services
189,NQ US Benchmark Specialty Finance
190,NQ US Benchmark Consumer Finance
191,NQ US Benchmark Asset Managers
192,NQ US Benchmark Financial Services Sector
193,NQ US Benchmark Hotel & Lodging REITs
194,NQ US Benchmark Mortgage REITs
195,NQ US Benchmark Specialty REITs
196,NQ US Benchmark Diversified REITs
197,NQ US Benchmark Residential REITs
198,NQ US Benchmark Retail REITs
199,NQ US Benchmark Industrial & Office REITs
200,NQ US Benchmark Real Estate Investment Trusts
201,NQ US Benchmark Real Estate Services
202,NQ US Benchmark Software & Computer Services
203,NQ US Large Cap General Retailers
204,NQ US Benchmark Computer Services
205,NQ US Benchmark Software
206,NQ US Large Cap Basic Resources
207,NQ US Large Cap Specialty Chemicals
208,NQ US Large Cap Commodity Chemicals
209,NQ US Large Cap Chemicals
210,NQ US Large Cap Basic Materials
